name,vicinity,place_id,lat,lng
Lowe's Garden Center,"875 Shaw Ave, Clovis",ChIJrYlP0nlclIARuP52pTCf9nE,36.8102025,-119.6995867
The Home Depot,"845 W Shaw Ave, Clovis",ChIJXRFHsllclIARf-urksd1IEM,36.8103344,-119.7283243
The Home Depot,"3175 Highland Ave, Selma",ChIJUd037j7wlIARIAWyfaYkOsM,36.5795487,-119.6307814
The Home Depot,"4864 E Kings Canyon Rd, Fresno",ChIJIwwHqf1elIARLBNRRE7m65U,36.73369090000001,-119.733274
Clovis Ace Hardware,"1890 Shaw Ave, Clovis",ChIJE_8-f5NblIAR2ovcNce50PI,36.8081279,-119.6792726
Garden Center at The Home Depot,"845 W Shaw Ave, Clovis",ChIJu96pX1hclIAREtSdD7O71vc,36.8101989,-119.7275221
Ace Hardware of Northeast Fresno,"1536 E Champlain Dr, Fresno",ChIJBY1mbjRDlIARqhBlw9KpDh4,36.868358,-119.7559684
Big Lots,"1155 Shaw Ave, Clovis",ChIJN4NoehtblIAR1krxuZOVlY4,36.8100324,-119.6947742
Fresno Ag Hardware Clovis,"850 Herndon Ave Suite 101, Clovis",ChIJSf8B4XNdlIARHXb39bLdFvE,36.8364187,-119.698458
Walmart Supercenter,"323 W Shaw Ave, Clovis",ChIJE17y2mBclIARotxQ_ZXlAK8,36.8108319,-119.716766
Lowe Audiology,"845 S Frankwood Ave, Reedley",ChIJLbdPoenilIARo-l5FELCRDo,36.59034279999999,-119.4489605
Lowe's Home Improvement,"415 S River Rd, St. George",ChIJkSDmMNlayoARtcQUzFBlhwY,37.1010968,-113.5538148
Lowe's Garden Center,"415 S River Rd, St. George",ChIJ-Vk9595ayoARRuKka_2M2SA,37.1003722,-113.5539801
Lowe's ProServices,"415 S River Rd, St. George",ChIJQ4Xo595ayoARKDZejApVJjs,37.1003553,-113.5538312
The Home Depot,"725 W Telegraph St, Washington",ChIJualjEqFbyoARCL9OV_IqIek,37.1258833,-113.5206473
The Home Depot,"937 N, 937 Westridge Dr, St. George",ChIJe6Tv9YZEyoARg68wCoS7Gaw,37.1247079,-113.6172787
Installation Services,"415 S River Rd, St. George",ChIJ____5t5ayoARCI82mpbb9ew,37.1011358,-113.5533196
Lowe's Home Improvement,"5451 Pinon Hills Blvd, Farmington",ChIJUX-9_NKIO4cRHDurWswl-fU,36.7726562,-108.141997
Lowe's Garden Center,"5451 Pinon Hills Blvd, Farmington",ChIJVcuQPtOIO4cRi1DFOUysJc8,36.7726566,-108.1421539
Lowe's ProServices,"5451 Pinon Hills Blvd, Farmington",ChIJxa0xONOIO4cRGTlWgKT1KgY,36.7726917,-108.1420702
Lowes/UPS Store,Farmington,ChIJq_DE3tKIO4cRyJruRmVjW_k,36.771369,-108.1416943
The Home Depot,"1301 S Camino Del Rio, Durango",ChIJ0QgUWjMDPIcRPupwpxtnsuM,37.2244553,-107.859647
Southwest Appliance,"21 Davidson Creek Rd, Durango",ChIJrQaaBKACPIcRXkrP0qUGegg,37.2296231,-107.8279714
Bloomfield Ace Hardware,"1947 W Broadway Ave, Bloomfield",ChIJh-dHcQJ5PIcRgEOXedbhye8,36.7109733,-108.0017296
Kroegers Ace Hardware,"8 Town Plaza, Durango",ChIJvQv0nJ8CPIcRKm-5E5cqk4c,37.2747736,-107.8819871
Ferguson Selection Center,"76 Sheppard Dr, Durango",ChIJs26eZicDPIcROsUaDNxbmww,37.2365206,-107.8741652
South Lowe Pasture,Cimarron,ChIJP3RBPh7CCIcRChWMuGxQlEY,37.1416911,-101.7254409
North Lowe Pasture,Rolla,ChIJEa11C4jCCIcRnubz08ifl1Q,37.1847464,-101.7184969
Walmart Supercenter,"2600 US-64, Guymon",ChIJJ9XYFFQoBocRkuJ9L1NEd0o,36.7053983,-101.4881099
Walmart Garden Center,"2600 US-64, Guymon",ChIJpzSiVVAoBocRFmuWbM8GiQA,36.7053983,-101.4881099
Wirtz Lumber & Sply Inc.,"219 N Quinn St Drawer A, Guymon",ChIJs7KJDOEoBocRFGvfJseGYQ4,36.6804374,-101.4824748
Ace Hardware,"James St, Guymon",ChIJKcsvouEoBocRgGubxkpOR9k,36.6804372,-101.4817972
Tractor Supply Co.,"2501 US-64, Guymon",ChIJXY-xj1EoBocR90IF4g-p4b8,36.704705,-101.483413
B & B True Value Hardware,"509 US-54, Guymon",ChIJTdFzjd0oBocRRi-DZXrvjwE,36.67553669999999,-101.4866158
Lumber Mart,"1401 N Main St, Guymon",ChIJba2G2v0oBocRDPM3cM5Gw04,36.6919922,-101.4810809
Lowe's Home Improvement,"2205 SE Adams Blvd, Bartlesville",ChIJj0e9GMgTt4cRZ-Gd1ZPCeQ8,36.7410055,-95.95155749999999
Lowe's ProServices,"2205 SE Adams Blvd, Bartlesville",ChIJ220CALgTt4cRMmLFx8_c-4o,36.7414051,-95.9511821
Lowe's Garden Center,"2205 SE Adams Blvd, Bartlesville",ChIJkZja_8cTt4cRQ9vzDIzP9XE,36.7409573,-95.95156840000001
Menards,"3105 Oak Grove Rd, Poplar Bluff",ChIJqwYyC6-614cRD9z8P0JeMQI,36.7902407,-90.4460199
Lowe's Body Shop & Towing,"1411 W Malone Ave, Sikeston",ChIJNZblgxZIeIgRl-S4p02QVG4,36.8678524,-89.61602909999999
The Home Depot,"639 S Westwood Blvd, Poplar Bluff",ChIJx0dF91ew14cRr2vUBBBCiRU,36.7485596,-90.4132968
Lowe's Mini Storage,"23259 State Hwy D, Campbell",ChIJl4mITEUs1ocRnt4SKhFyjIQ,36.615238,-89.96942849999999
Mills Iron & Supply Co.,"1919 S Westwood Blvd, Poplar Bluff",ChIJbxUKeVSw14cRsc8WB7FnH5g,36.742458,-90.4168996
Whitakers Ace Hardware,"138 W Yoakum Ave, Chaffee",ChIJ__8vwLEjeIgRwzeo2RCr-7Y,37.1803963,-89.6567974
Walmart Supercenter,"2025 W Business Us Highway 60, Dexter",ChIJ17z4LHF3eIgRyi_c7_fneb8,36.801147,-89.9924171
Pack's Ace Hardware,"918 S Westwood Blvd, Poplar Bluff",ChIJq_4isuix14cRLrtwhRfXgrE,36.7498588,-90.4097632
Lowe's Home Improvement,"2001 S Hwy 27, Somerset",ChIJAWW1F8JJXYgResolVGUmsH4,37.0666007,-84.6238915
Lowe's Home Improvement,"777 W Cumberland Gap Pkwy, Corbin",ChIJmQmSAbPaXIgRoEWSTDRrEAo,36.9719123,-84.09928889999999
Lowe's Home Improvement,"136 Keavy Rd, London",ChIJJR-J553NXIgRJDWQVtJ6WmI,37.1044854,-84.0867147
Lowe's Garden Center,"2001 S Hwy 27, Somerset",ChIJr-aYGfBJXYgRZSNrruLhhEc,37.0667716,-84.62309090000001
Lowe's Garden Center,"777 W Cumberland Gap Pkwy, Corbin",ChIJ-9a0HVPFXIgR0q4tWqEZCyw,36.9717349,-84.0995744
Lowe's ProServices,"136 Keavy Rd, London",ChIJsVZwSpzNXIgRlaPNe7hzf04,37.10431519999999,-84.0866163
Lowe's ProServices,"2001 S Hwy 27, Somerset",ChIJFUpGpsFJXYgR-38L7jzq9Cg,37.0661288,-84.6236184
Lowe's Garden Center,"136 Keavy Rd, London",ChIJtbf5NZzNXIgRi8B4jg8SpH0,37.1045421,-84.0858753
Lowe's ProServices,"777 W Cumberland Gap Pkwy, Corbin",ChIJ1ZTvHFPFXIgRBeqfkDXYRDM,36.9716754,-84.0994245
Lowe's Truss Company,"15869 Scott Hwy, Oneida",ChIJC2fH2pegXYgR1TkCXUfMXQ8,36.4722009,-84.5437859
Lowe's Home Improvement,"2644 Farmville Rd, Farmville",ChIJ1QxfAxZPsokRAhMcEP9aKpE,37.2654991,-78.4100418
Lowe's Home Improvement,"3603 Old Halifax Rd, South Boston",ChIJLTFlTs1jrYkRU45EsBWEBGo,36.736766,-78.913495
Lowe's Garden Center,"2644 Farmville Rd, Farmville",ChIJKyGUhRZPsokRaM2TyxxyJ5c,37.264992,-78.41028879999999
Lowe's ProServices,"3603 Old Halifax Rd, South Boston",ChIJm9byPjNirYkRwJc9kItqXhA,36.7368034,-78.9135289
Lowe's Garden Center,"3603 Old Halifax Rd, South Boston",ChIJOaO-PjNirYkRj3pZ7VZIK2k,36.7367377,-78.91355
Lowe's ProServices,"2644 Farmville Rd, Farmville",ChIJeenxhRZPsokRM3dqFXiDnA0,37.2656515,-78.4102339
Installation Services,"3603 Old Halifax Rd, South Boston",ChIJAQAAPzNirYkRcXMg4Rwgu3A,36.7368273,-78.913442
